,gvkey
0,1004
1,1094
2,1121
3,1240
4,1246
5,1272
6,1518
7,1611
8,1659
9,1728
10,1773
11,1914
12,1919
13,2101
14,2163
15,2184
16,2290
17,2484
18,2595
19,2703
20,2751
21,2791
22,2807
23,2811
24,2818
25,2865
26,2911
27,2938
28,2955
29,3007
30,3054
31,3087
32,3129
33,3184
34,3424
35,3552
36,3570
37,3708
38,3813
39,3824
40,3937
41,3964
42,4016
43,4072
44,4090
45,4225
46,4523
47,4560
48,4599
49,4611
50,4669
51,4759
52,4828
53,4830
54,4860
55,4911
56,4990
57,5109
58,5125
59,5288
60,5301
61,5479
62,5513
63,5523
64,5530
65,5680
66,5711
67,5770
68,5774
69,5792
70,5847
71,5899
72,5968
73,5971
74,6196
75,6197
76,6215
77,6285
78,6307
79,6346
80,6502
81,6617
82,6619
83,6672
84,6717
85,6733
86,6771
87,6802
88,6829
89,6831
90,7066
91,7127
92,7132
93,7154
94,7171
95,7186
96,7295
97,7316
98,7566
99,7575
100,7683
101,7691
102,7761
103,7853
104,7882
105,7922
106,8017
107,8084
108,8133
109,8213
110,8350
111,8439
112,8446
113,8475
114,8579
115,8768
116,8815
117,9034
118,9063
119,9125
120,9155
121,9248
122,9284
123,9298
124,9305
125,9323
126,9359
127,9441
128,9501
129,9748
130,10013
131,10190
132,10247
133,10331
134,10332
135,10380
136,10639
137,10686
138,10870
139,10981
140,11017
141,11162
142,11178
143,11258
144,11259
145,11264
146,11313
147,11343
148,11361
149,11366
150,11443
151,11455
152,11511
153,11535
154,11538
155,11584
156,11669
157,11672
158,11730
159,11787
160,11815
161,11872
162,11944
163,12096
164,12122
165,12123
166,12171
167,12222
168,12403
169,12421
170,12434
171,12471
172,12551
173,12658
174,12950
175,12972
176,13032
177,13092
178,13139
179,13204
180,13380
181,13381
182,13479
183,13505
184,13506
185,13531
186,13602
187,13645
188,13646
189,13756
190,13759
191,13866
192,13962
193,14007
194,14083
195,14269
196,14312
197,14386
198,14490
199,14606
200,14624
201,14868
202,14895
203,14977
204,14985
205,15007
206,15020
207,15042
208,15077
209,15092
210,15359
211,15520
212,15521
213,15798
214,16474
215,16665
216,16813
217,18582
218,18813
219,18934
220,19398
221,19519
222,19696
223,19843
224,20113
225,20231
226,20304
227,20458
228,20549
