,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,accession_number,full_submission_url,filing_details_url,filing_details_filename,period_end_date,cik,edgar_name,file_name,save_path,report_type,gvkey,ticker,hit,file_date,
1,0000277595-00-000011,https://www.sec.gov/Archives/edgar/data/0000003146/000027759500000011/0000277595-00-000011.txt,https://www.sec.gov/Archives/edgar/data/0000003146/000027759500000011/0001.txt,,2000-06-30,0000003146,ALABAMA GAS CORP  (CIK 0000003146),0000001224_2000-06-30_10-Q_0000277595-00-000011.html,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001224_2000-06-30_10-Q_0000277595-00-000011.html,10-Q,0000001224,,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000277595-00-000011:0001.txt', '_score': None, '_source': {'ciks': ['0000277595', '0000003146'], 'period_ending': '2000-06-30', 'root_form': '10-Q', 'file_num': ['001-07810', '033-70466'], 'display_names': ['ENERGEN CORP  (CIK 0000277595)', 'ALABAMA GAS CORP  (CIK 0000003146)'], 'xsl': None, 'sequence': '1', 'file_date': '2000-08-11', 'biz_states': ['AL'], 'sics': ['4924', '4924'], 'form': '10-Q', 'adsh': '0000277595-00-000011', 'film_num': ['694233', '694234'], 'biz_locations': ['Birmingham, AL', 'Birmingham, AL'], 'file_type': '10-Q', 'file_description': 'FORM 10-Q FOR 06/30/2000', 'inc_states': ['AL', 'AL'], 'items': []}, 'sort': [965952000000]}",2000-08-11,False
2,0000277595-01-000003,https://www.sec.gov/Archives/edgar/data/0000003146/000027759501000003/0000277595-01-000003.txt,https://www.sec.gov/Archives/edgar/data/0000003146/000027759501000003/0001.txt,,2000-12-31,0000003146,ALABAMA GAS CORP  (CIK 0000003146),0000001224_2000-12-31_10-Q_0000277595-01-000003.html,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001224_2000-12-31_10-Q_0000277595-01-000003.html,10-Q,0000001224,,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000277595-01-000003:0001.txt', '_score': None, '_source': {'ciks': ['0000277595', '0000003146'], 'period_ending': '2000-12-31', 'root_form': '10-Q', 'file_num': ['001-07810', '033-70466'], 'display_names': ['ENERGEN CORP  (CIK 0000277595)', 'ALABAMA GAS CORP  (CIK 0000003146)'], 'xsl': None, 'sequence': '1', 'file_date': '2001-02-14', 'biz_states': ['AL'], 'sics': ['4924', '4924'], 'form': '10-Q', 'adsh': '0000277595-01-000003', 'film_num': ['1540975', '1540976'], 'biz_locations': ['Birmingham, AL', 'Birmingham, AL'], 'file_type': '10-Q', 'file_description': 'FORM 10-Q FOR 12/31/2000', 'inc_states': ['AL', 'AL'], 'items': []}, 'sort': [982108800000]}",2001-02-14,False
3,0000277595-01-500014,https://www.sec.gov/Archives/edgar/data/0000003146/000027759501500014/0000277595-01-500014.txt,https://www.sec.gov/Archives/edgar/data/0000003146/000027759501500014/tenq301.htm,,2001-03-31,0000003146,ALABAMA GAS CORP  (CIK 0000003146),0000001224_2001-03-31_10-Q_0000277595-01-500014.html,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001224_2001-03-31_10-Q_0000277595-01-500014.html,10-Q,0000001224,,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000277595-01-500014:tenq301.htm', '_score': None, '_source': {'ciks': ['0000277595', '0000003146'], 'period_ending': '2001-03-31', 'root_form': '10-Q', 'file_num': ['001-07810', '033-70466'], 'display_names': ['ENERGEN CORP  (CIK 0000277595)', 'ALABAMA GAS CORP  (CIK 0000003146)'], 'xsl': None, 'sequence': '1', 'file_date': '2001-05-15', 'biz_states': ['AL'], 'sics': ['4924', '4924'], 'form': '10-Q', 'adsh': '0000277595-01-500014', 'film_num': ['1634336', '1634337'], 'biz_locations': ['Birmingham, AL', 'Birmingham, AL'], 'file_type': '10-Q', 'file_description': None, 'inc_states': ['AL', 'AL'], 'items': []}, 'sort': [989884800000]}",2001-05-15,True
4,0000277595-01-500017,https://www.sec.gov/Archives/edgar/data/0000003146/000027759501500017/0000277595-01-500017.txt,https://www.sec.gov/Archives/edgar/data/0000003146/000027759501500017/tenq601.htm,,2001-06-30,0000003146,ALABAMA GAS CORP  (CIK 0000003146),0000001224_2001-06-30_10-Q_0000277595-01-500017.html,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001224_2001-06-30_10-Q_0000277595-01-500017.html,10-Q,0000001224,,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000277595-01-500017:tenq601.htm', '_score': None, '_source': {'ciks': ['0000277595', '0000003146'], 'period_ending': '2001-06-30', 'root_form': '10-Q', 'file_num': ['001-07810', '033-70466'], 'display_names': ['ENERGEN CORP  (CIK 0000277595)', 'ALABAMA GAS CORP  (CIK 0000003146)'], 'xsl': None, 'sequence': '1', 'file_date': '2001-08-13', 'biz_states': ['AL'], 'sics': ['4924', '4924'], 'form': '10-Q', 'adsh': '0000277595-01-500017', 'film_num': ['1705800', '1705801'], 'biz_locations': ['Birmingham, AL', 'Birmingham, AL'], 'file_type': '10-Q', 'file_description': None, 'inc_states': ['AL', 'AL'], 'items': []}, 'sort': [997660800000]}",2001-08-13,True
5,0000277595-02-000006,https://www.sec.gov/Archives/edgar/data/0000003146/000027759502000006/0000277595-02-000006.txt,https://www.sec.gov/Archives/edgar/data/0000003146/000027759502000006/tenq.htm,,2001-12-31,0000003146,ALABAMA GAS CORP  (CIK 0000003146),0000001224_2001-12-31_10-Q_0000277595-02-000006.html,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001224_2001-12-31_10-Q_0000277595-02-000006.html,10-Q,0000001224,,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000277595-02-000006:tenq.htm', '_score': None, '_source': {'ciks': ['0000277595', '0000003146'], 'period_ending': '2001-12-31', 'root_form': '10-Q', 'file_num': ['001-07810', '033-70466'], 'display_names': ['ENERGEN CORP  (CIK 0000277595)', 'ALABAMA GAS CORP  (CIK 0000003146)'], 'xsl': None, 'sequence': '1', 'file_date': '2002-02-14', 'biz_states': ['AL'], 'sics': ['4924', '4924'], 'form': '10-Q', 'adsh': '0000277595-02-000006', 'film_num': ['02548650', '02548647'], 'biz_locations': ['Birmingham, AL', 'Birmingham, AL'], 'file_type': '10-Q', 'file_description': '12/31/01', 'inc_states': ['AL', 'AL'], 'items': []}, 'sort': [1013644800000]}",2002-02-14,True
6,0000277595-02-000017,https://www.sec.gov/Archives/edgar/data/0000003146/000027759502000017/0000277595-02-000017.txt,https://www.sec.gov/Archives/edgar/data/0000003146/000027759502000017/tenq331.htm,,2002-03-31,0000003146,ALABAMA GAS CORP  (CIK 0000003146),0000001224_2002-03-31_10-Q_0000277595-02-000017.html,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001224_2002-03-31_10-Q_0000277595-02-000017.html,10-Q,0000001224,,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000277595-02-000017:tenq331.htm', '_score': None, '_source': {'ciks': ['0000277595', '0000003146'], 'period_ending': '2002-03-31', 'root_form': '10-Q', 'file_num': ['001-07810', '033-70466'], 'display_names': ['ENERGEN CORP  (CIK 0000277595)', 'ALABAMA GAS CORP  (CIK 0000003146)'], 'xsl': None, 'sequence': '1', 'file_date': '2002-05-15', 'biz_states': ['AL'], 'sics': ['4924', '4924'], 'form': '10-Q', 'adsh': '0000277595-02-000017', 'film_num': ['02648741', '02648742'], 'biz_locations': ['Birmingham, AL', 'Birmingham, AL'], 'file_type': '10-Q', 'file_description': '3-31-02 QUARTERLY FILING', 'inc_states': ['AL', 'AL'], 'items': []}, 'sort': [1021420800000]}",2002-05-15,True
7,0000277595-02-000043,https://www.sec.gov/Archives/edgar/data/0000277595/000027759502000043/0000277595-02-000043.txt,https://www.sec.gov/Archives/edgar/data/0000277595/000027759502000043/tenq602.htm,,2002-06-30,0000277595,ENERGEN CORP  (CIK 0000277595),0000001224_2002-06-30_10-Q_0000277595-02-000043.html,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001224_2002-06-30_10-Q_0000277595-02-000043.html,10-Q,0000001224,,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000277595-02-000043:tenq602.htm', '_score': None, '_source': {'ciks': ['0000003146', '0000277595'], 'period_ending': '2002-06-30', 'root_form': '10-Q', 'file_num': ['033-70466', '001-07810'], 'display_names': ['ALABAMA GAS CORP  (CIK 0000003146)', 'ENERGEN CORP  (CIK 0000277595)'], 'xsl': None, 'sequence': '1', 'file_date': '2002-08-14', 'biz_states': ['AL'], 'sics': ['4924', '4924'], 'form': '10-Q', 'adsh': '0000277595-02-000043', 'film_num': ['02733699', '02733700'], 'biz_locations': ['Birmingham, AL', 'Birmingham, AL'], 'file_type': '10-Q', 'file_description': 'QUARTERLY FILING', 'inc_states': ['AL', 'AL'], 'items': []}, 'sort': [1029283200000]}",2002-08-14,True
8,0000277595-04-000005,https://www.sec.gov/Archives/edgar/data/0000003146/000027759504000005/0000277595-04-000005.txt,https://www.sec.gov/Archives/edgar/data/0000003146/000027759504000005/tenq902filingcopy.htm,,2002-09-30,0000003146,ALABAMA GAS CORP  (CIK 0000003146),0000001224_2002-09-30_10-Q_0000277595-04-000005.html,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001224_2002-09-30_10-Q_0000277595-04-000005.html,10-Q,0000001224,,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000277595-04-000005:tenq902filingcopy.htm', '_score': None, '_source': {'ciks': ['0000003146'], 'period_ending': '2002-09-30', 'root_form': '10-Q', 'file_num': ['033-70466'], 'display_names': ['ALABAMA GAS CORP  (CIK 0000003146)'], 'xsl': None, 'sequence': '1', 'file_date': '2004-02-02', 'biz_states': ['AL'], 'sics': ['4924'], 'form': '10-Q', 'adsh': '0000277595-04-000005', 'film_num': ['04558199'], 'biz_locations': ['Birmingham, AL'], 'file_type': '10-Q', 'file_description': 'ALABAMA GAS 10Q 9/30/02', 'inc_states': ['AL'], 'items': []}, 'sort': [1075680000000]}",2004-02-02,True
9,0000277595-03-000024,https://www.sec.gov/Archives/edgar/data/0000003146/000027759503000024/0000277595-03-000024.txt,https://www.sec.gov/Archives/edgar/data/0000003146/000027759503000024/tenq303.htm,,2003-03-31,0000003146,ALABAMA GAS CORP  (CIK 0000003146),0000001224_2003-03-31_10-Q_0000277595-03-000024.html,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001224_2003-03-31_10-Q_0000277595-03-000024.html,10-Q,0000001224,,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000277595-03-000024:tenq303.htm', '_score': None, '_source': {'ciks': ['0000277595', '0000003146'], 'period_ending': '2003-03-31', 'root_form': '10-Q', 'file_num': ['001-07810', '033-70466'], 'display_names': ['ENERGEN CORP  (CIK 0000277595)', 'ALABAMA GAS CORP  (CIK 0000003146)'], 'xsl': None, 'sequence': '1', 'file_date': '2003-05-14', 'biz_states': ['AL'], 'sics': ['4924', '4924'], 'form': '10-Q', 'adsh': '0000277595-03-000024', 'film_num': ['03699078', '03699079'], 'biz_locations': ['Birmingham, AL', 'Birmingham, AL'], 'file_type': '10-Q', 'file_description': '3-31-2003 10Q FILING', 'inc_states': ['AL', 'AL'], 'items': []}, 'sort': [1052870400000]}",2003-05-14,True
