,accession_number,full_submission_url,filing_details_url,period_end_date,cik,cik_lookup,edgar_name,file_name,file_name_txt,save_path,report_type,gvkey,ticker,file_date,hit,Success
0,0000912057-02-033450,https://www.sec.gov/Archives/edgar/data/0000001750/000091205702033450/0000912057-02-033450.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000091205702033450/a2087919z10-k.htm,2002-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2002-05-31_10-K_0000912057-02-033450.html,0000001004_2002-05-31_10-K_0000912057-02-033450.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2002-05-31_10-K_0000912057-02-033450.html,10-K,0000001004,,2002-08-26,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0000912057-02-033450:a2087919z10-k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2002-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2002-08-26', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0000912057-02-033450', 'film_num': ['02747889'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': '10-K', 'inc_states': ['DE'], 'items': []}, 'sort': [1030320000000]}",True
1,0001047469-03-028005,https://www.sec.gov/Archives/edgar/data/0000001750/000104746903028005/0001047469-03-028005.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000104746903028005/a2116671z10-k.htm,2003-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2003-05-31_10-K_0001047469-03-028005.html,0000001004_2003-05-31_10-K_0001047469-03-028005.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2003-05-31_10-K_0001047469-03-028005.html,10-K,0000001004,,2003-08-18,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0001047469-03-028005:a2116671z10-k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2003-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2003-08-18', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0001047469-03-028005', 'film_num': ['03852100'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': '10-K', 'inc_states': ['DE'], 'items': []}, 'sort': [1061164800000]}",True
2,0001047469-04-023905,https://www.sec.gov/Archives/edgar/data/0000001750/000104746904023905/0001047469-04-023905.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000104746904023905/a2140220z10-k.htm,2004-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2004-05-31_10-K_0001047469-04-023905.html,0000001004_2004-05-31_10-K_0001047469-04-023905.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2004-05-31_10-K_0001047469-04-023905.html,10-K,0000001004,,2004-07-22,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0001047469-04-023905:a2140220z10-k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2004-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2004-07-22', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0001047469-04-023905', 'film_num': ['04926022'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': '10-K', 'inc_states': ['DE'], 'items': []}, 'sort': [1090454400000]}",True
3,0001104659-05-033688,https://www.sec.gov/Archives/edgar/data/0000001750/000110465905033688/0001104659-05-033688.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000110465905033688/a05-12324_110k.htm,2005-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2005-05-31_10-K_0001104659-05-033688.html,0000001004_2005-05-31_10-K_0001104659-05-033688.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2005-05-31_10-K_0001104659-05-033688.html,10-K,0000001004,,2005-07-22,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0001104659-05-033688:a05-12324_110k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2005-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2005-07-22', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0001104659-05-033688', 'film_num': ['05969331'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': '10-K', 'inc_states': ['DE'], 'items': []}, 'sort': [1121990400000]}",True
4,0001104659-06-047248,https://www.sec.gov/Archives/edgar/data/0000001750/000110465906047248/0001104659-06-047248.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000110465906047248/a06-15961_110k.htm,2006-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2006-05-31_10-K_0001104659-06-047248.html,0000001004_2006-05-31_10-K_0001104659-06-047248.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2006-05-31_10-K_0001104659-06-047248.html,10-K,0000001004,,2006-07-17,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0001104659-06-047248:a06-15961_110k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2006-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2006-07-17', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0001104659-06-047248', 'film_num': ['06964375'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': 'ANNUAL REPORT PURSUANT TO SECTION 13 AND 15(D)', 'inc_states': ['DE'], 'items': []}, 'sort': [1153094400000]}",True
5,0001104659-07-055173,https://www.sec.gov/Archives/edgar/data/0000001750/000110465907055173/0001104659-07-055173.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000110465907055173/a07-18543_110k.htm,2007-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2007-05-31_10-K_0001104659-07-055173.html,0000001004_2007-05-31_10-K_0001104659-07-055173.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2007-05-31_10-K_0001104659-07-055173.html,10-K,0000001004,,2007-07-20,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0001104659-07-055173:a07-18543_110k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2007-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2007-07-20', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0001104659-07-055173', 'film_num': ['07991544'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': '10-K', 'inc_states': ['DE'], 'items': []}, 'sort': [1184889600000]}",True
6,0001047469-08-008126,https://www.sec.gov/Archives/edgar/data/0000001750/000104746908008126/0001047469-08-008126.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000104746908008126/a2186742z10-k.htm,2008-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2008-05-31_10-K_0001047469-08-008126.html,0000001004_2008-05-31_10-K_0001047469-08-008126.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2008-05-31_10-K_0001047469-08-008126.html,10-K,0000001004,,2008-07-11,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0001047469-08-008126:a2186742z10-k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2008-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2008-07-11', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0001047469-08-008126', 'film_num': ['08949571'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': '10-K', 'inc_states': ['DE'], 'items': []}, 'sort': [1215734400000]}",True
7,0001047469-09-006783,https://www.sec.gov/Archives/edgar/data/0000001750/000104746909006783/0001047469-09-006783.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000104746909006783/a2193700z10-k.htm,2009-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2009-05-31_10-K_0001047469-09-006783.html,0000001004_2009-05-31_10-K_0001047469-09-006783.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2009-05-31_10-K_0001047469-09-006783.html,10-K,0000001004,,2009-07-16,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0001047469-09-006783:a2193700z10-k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2009-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2009-07-16', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0001047469-09-006783', 'film_num': ['09948386'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': '10-K', 'inc_states': ['DE'], 'items': []}, 'sort': [1247702400000]}",True
8,0001047469-10-006500,https://www.sec.gov/Archives/edgar/data/0000001750/000104746910006500/0001047469-10-006500.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000104746910006500/a2199382z10-k.htm,2010-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2010-05-31_10-K_0001047469-10-006500.html,0000001004_2010-05-31_10-K_0001047469-10-006500.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2010-05-31_10-K_0001047469-10-006500.html,10-K,0000001004,,2010-07-16,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0001047469-10-006500:a2199382z10-k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2010-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2010-07-16', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0001047469-10-006500', 'film_num': ['10956500'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': 'FORM 10-K', 'inc_states': ['DE'], 'items': []}, 'sort': [1279238400000]}",True
9,0001047469-11-006302,https://www.sec.gov/Archives/edgar/data/0000001750/000104746911006302/0001047469-11-006302.txt,https://www.sec.gov/Archives/edgar/data/0000001750/000104746911006302/a2204709z10-k.htm,2011-05-31,0000001750,0000001750,AAR CORP  (AIR)  (CIK 0000001750),0000001004_2011-05-31_10-K_0001047469-11-006302.html,0000001004_2011-05-31_10-K_0001047469-11-006302.txt,C:\Users\User\OneDrive\Desktop\Code\msba_edgar\scraper\sec-edgar-filings\0000001004_2011-05-31_10-K_0001047469-11-006302.html,10-K,0000001004,,2011-07-13,"{'_index': 'edgar_file', '_type': '_doc', '_id': '0001047469-11-006302:a2204709z10-k.htm', '_score': None, '_source': {'ciks': ['0000001750'], 'period_ending': '2011-05-31', 'root_form': '10-K', 'file_num': ['001-06263'], 'display_names': ['AAR CORP  (AIR)  (CIK 0000001750)'], 'xsl': None, 'sequence': '1', 'file_date': '2011-07-13', 'biz_states': ['IL'], 'sics': ['3720'], 'form': '10-K', 'adsh': '0001047469-11-006302', 'film_num': ['11966075'], 'biz_locations': ['Wood Dale, IL'], 'file_type': '10-K', 'file_description': '10-K', 'inc_states': ['DE'], 'items': []}, 'sort': [1310515200000]}",True
